timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2023-01-01T00:00:00-05:00,0,9550,600,0,0,10150
2023-01-02T00:00:00-05:00,0,8592,600,0,0,9192
2023-01-03T00:00:00-05:00,0,6857,600,0,0,7456
2023-01-04T00:00:00-05:00,0,7362,600,0,0,7962
2023-01-05T00:00:00-05:00,0,8069,857,0,0,8926
2023-01-06T00:00:00-05:00,1289,8627,1784,872,29,8280
2023-01-07T00:00:00-05:00,2582,8583,1954,916,89,7127
2023-01-08T00:00:00-05:00,0,8503,600,0,0,9103
2023-01-09T00:00:00-05:00,0,8742,600,0,0,9342
2023-01-10T00:00:00-05:00,0,8664,600,0,0,9264
2023-01-11T00:00:00-05:00,0,8262,600,0,0,8862
2023-01-12T00:00:00-05:00,0,7731,858,0,0,8589
2023-01-13T00:00:00-05:00,0,9473,600,0,0,10073
2023-01-14T00:00:00-05:00,0,9147,600,0,0,9747
2023-01-15T00:00:00-05:00,0,9094,600,0,0,9694
2023-01-16T00:00:00-05:00,0,8943,858,0,0,9801
2023-01-17T00:00:00-05:00,0,8230,600,0,0,8830
2023-01-18T00:00:00-05:00,0,8312,600,0,0,8911
2023-01-19T00:00:00-05:00,0,7577,857,0,0,8434
2023-01-20T00:00:00-05:00,0,9082,600,0,0,9682
2023-01-21T00:00:00-05:00,0,10139,600,0,0,10739
2023-01-22T00:00:00-05:00,0,9837,600,0,0,10437
2023-01-23T00:00:00-05:00,0,9968,858,0,0,10826
2023-01-24T00:00:00-05:00,0,10394,600,0,0,10994
2023-01-25T00:00:00-05:00,0,9787,600,0,0,10387
2023-01-26T00:00:00-05:00,0,9937,600,0,0,10537
2023-01-27T00:00:00-05:00,0,9954,858,0,0,10813
2023-01-28T00:00:00-05:00,0,9703,600,0,0,10303
2023-01-29T00:00:00-05:00,0,9353,2723,0,0,12076
2023-01-30T00:00:00-05:00,0,9999,722,1254,0,9467
2023-01-31T00:00:00-05:00,0,10620,600,0,0,11220
2023-02-01T00:00:00-05:00,0,10468,600,0,0,11068
2023-02-02T00:00:00-05:00,0,10548,600,0,0,11148
2023-02-03T00:00:00-05:00,0,10573,600,0,0,11173
2023-02-04T00:00:00-05:00,0,10579,858,0,0,11437
2023-02-05T00:00:00-05:00,0,10134,600,0,0,10734
2023-02-06T00:00:00-05:00,0,10227,600,0,0,10827
2023-02-07T00:00:00-05:00,0,9583,858,0,0,10441
2023-02-08T00:00:00-05:00,0,9420,600,0,0,10020
2023-02-09T00:00:00-05:00,0,9250,600,0,0,9850
2023-02-10T00:00:00-05:00,7,9426,854,57,0,10215
2023-02-11T00:00:00-05:00,27923,10497,2163,2889,21559,3408
2023-02-12T00:00:00-05:00,32338,10475,6596,4450,21518,1801
2023-02-13T00:00:00-05:00,29033,10884,6799,4872,17604,1383
2023-02-14T00:00:00-05:00,16391,8430,7582,4761,5636,496
2023-02-15T00:00:00-05:00,28884,8066,6255,3899,19031,569
2023-02-16T00:00:00-05:00,4505,7366,2311,4684,117,605
2023-02-17T00:00:00-05:00,4031,9164,1615,728,104,6124
2023-02-18T00:00:00-05:00,33051,9356,8372,2363,20886,3200
2023-02-19T00:00:00-05:00,27468,8538,6851,4360,16941,504
2023-02-20T00:00:00-05:00,14212,7855,6177,4584,5295,531
2023-02-21T00:00:00-05:00,29535,8874,6937,4704,18943,515
2023-02-22T00:00:00-05:00,5800,8457,3024,5063,144,763
2023-02-23T00:00:00-05:00,29427,7807,8329,2231,17706,2183
2023-02-24T00:00:00-05:00,34369,9744,6503,5030,23648,497
2023-02-25T00:00:00-05:00,30440,9678,7593,5140,18813,504
2023-02-26T00:00:00-05:00,30430,9016,7039,4548,19388,465
2023-02-27T00:00:00-05:00,4086,8379,1983,4666,89,1700
2023-02-28T00:00:00-05:00,13538,8188,8408,2149,2088,2999
2023-03-01T00:00:00-05:00,32538,8616,6493,4174,22049,445
2023-03-02T00:00:00-05:00,22987,7245,5226,3387,14351,447
2023-03-03T00:00:00-05:00,1365,8902,4582,3541,17,8596
2023-03-04T00:00:00-05:00,31778,8898,3864,2095,24172,3061
2023-03-05T00:00:00-05:00,31108,8676,6971,4547,20449,441
2023-03-06T00:00:00-05:00,29375,8450,6022,4150,19511,458
2023-03-07T00:00:00-05:00,34365,8977,6060,4400,24211,482
2023-03-08T00:00:00-05:00,31380,9376,6749,4672,20365,437
2023-03-09T00:00:00-05:00,34927,8773,6601,4368,24376,456
2023-03-10T00:00:00-05:00,2397,9601,516,3498,48,4269
2023-03-11T00:00:00-05:00,13323,9302,8425,2353,1343,3394
2023-03-12T00:00:00-05:00,7609,8586,4197,4820,169,522
2023-03-13T00:00:00-04:00,10664,9507,6874,3289,234,2662
2023-03-14T00:00:00-04:00,12590,9323,8086,4602,951,1169
2023-03-15T00:00:00-04:00,39232,10124,6750,4925,27734,451
2023-03-16T00:00:00-04:00,28253,8869,6986,4375,17249,476
2023-03-17T00:00:00-04:00,3241,8638,659,3711,85,2430
2023-03-18T00:00:00-04:00,21738,10029,8359,2504,9027,3172
2023-03-19T00:00:00-04:00,30281,10291,7444,4748,17766,473
2023-03-20T00:00:00-04:00,41193,9903,6761,4740,29704,435
2023-03-21T00:00:00-04:00,35996,9036,6374,4052,25068,430
2023-03-22T00:00:00-04:00,3764,8046,798,4028,127,1179
2023-03-23T00:00:00-04:00,9382,7385,6465,1751,237,2953
2023-03-24T00:00:00-04:00,4318,8420,1321,2739,122,2806
2023-03-25T00:00:00-04:00,12093,10218,9684,3606,98,4300
2023-03-26T00:00:00-04:00,39420,8680,2948,1988,32710,2930
2023-03-27T00:00:00-04:00,20711,8231,6993,4316,10422,618
2023-03-28T00:00:00-04:00,29617,12840,5466,3876,15608,422
2023-03-29T00:00:00-04:00,30377,8309,6295,4179,20376,423
2023-03-30T00:00:00-04:00,40383,16016,6228,4205,22760,418
2023-03-31T00:00:00-04:00,3677,8497,6055,2902,68,8041
2023-04-01T00:00:00-04:00,21899,11123,1900,2304,13762,2582
2023-04-02T00:00:00-04:00,13566,8887,6607,4520,3055,463
2023-04-03T00:00:00-04:00,20683,11950,6351,4119,6952,450
2023-04-04T00:00:00-04:00,18863,8007,6066,3534,8784,460
2023-04-05T00:00:00-04:00,6493,7521,3855,4504,165,543
2023-04-06T00:00:00-04:00,13113,7819,8133,3532,1152,461
2023-04-07T00:00:00-04:00,26994,14905,6151,3952,10334,444
2023-04-08T00:00:00-04:00,33659,9776,5751,3986,22522,404
2023-04-09T00:00:00-04:00,41494,10061,6019,4308,30143,421
2023-04-10T00:00:00-04:00,41251,8844,5804,3769,30774,403
2023-04-11T00:00:00-04:00,39816,7873,5392,3761,30716,403
2023-04-12T00:00:00-04:00,39216,9839,5884,4009,27911,409
2023-04-13T00:00:00-04:00,39582,9033,5532,3828,29263,417
2023-04-14T00:00:00-04:00,16273,9097,6089,4221,5728,420
2023-04-15T00:00:00-04:00,35316,16759,5985,4004,16976,401
2023-04-16T00:00:00-04:00,16093,9397,6095,4192,5256,463
2023-04-17T00:00:00-04:00,10494,13666,3840,6447,165,730
2023-04-18T00:00:00-04:00,42917,14921,8727,6301,28881,3311
2023-04-19T00:00:00-04:00,40231,11834,9482,2702,22844,1227
2023-04-20T00:00:00-04:00,37266,8855,4798,3233,27262,416
2023-04-21T00:00:00-04:00,23784,7107,4759,3202,15548,428
2023-04-22T00:00:00-04:00,29215,16030,6852,4245,11083,506
2023-04-23T00:00:00-04:00,15786,8356,4757,3698,6801,430
2023-04-24T00:00:00-04:00,21090,14907,7208,4746,4240,519
2023-04-25T00:00:00-04:00,30492,13536,6241,3925,15039,399
2023-04-26T00:00:00-04:00,40604,8230,5234,3700,31261,421
2023-04-27T00:00:00-04:00,37696,11639,5312,3521,24650,384
2023-04-28T00:00:00-04:00,11643,10294,6023,4499,378,554
2023-04-29T00:00:00-04:00,19046,7723,6582,3571,8749,436
2023-04-30T00:00:00-04:00,24508,8126,5136,3128,14827,453
2023-05-01T00:00:00-04:00,10150,8774,5579,4007,261,456
2023-05-02T00:00:00-04:00,10708,8449,6333,4304,708,478
2023-05-03T00:00:00-04:00,11326,8936,6639,4078,272,444
2023-05-04T00:00:00-04:00,26394,12213,5813,4033,12826,425
2023-05-05T00:00:00-04:00,41631,9519,5902,3616,30219,392
2023-05-06T00:00:00-04:00,31165,10037,4998,3250,19777,397
2023-05-07T00:00:00-04:00,20507,7901,4983,3380,11469,465
2023-05-08T00:00:00-04:00,22263,8735,5708,4001,12276,455
2023-05-09T00:00:00-04:00,40395,9451,5471,3470,29337,393
2023-05-10T00:00:00-04:00,41578,9731,5347,3635,30539,404
2023-05-11T00:00:00-04:00,37529,9274,5413,3481,26718,395
2023-05-12T00:00:00-04:00,16526,8713,5567,4254,6921,420
2023-05-13T00:00:00-04:00,20643,10239,6332,3717,8189,400
2023-05-14T00:00:00-04:00,28915,17346,6235,5005,10751,413
2023-05-15T00:00:00-04:00,27363,18007,5879,5389,9304,438
2023-05-16T00:00:00-04:00,13655,9124,8228,3626,314,385
2023-05-17T00:00:00-04:00,41637,9041,5402,2965,30524,365
2023-05-18T00:00:00-04:00,38872,13135,3751,3169,25499,345
2023-05-19T00:00:00-04:00,30788,9666,6490,4155,19193,406
2023-05-20T00:00:00-04:00,31795,9797,6221,4297,20582,508
2023-05-21T00:00:00-04:00,40623,9545,5303,3439,29570,357
2023-05-22T00:00:00-04:00,37445,25045,5729,9113,16210,426
2023-05-23T00:00:00-04:00,34214,8713,10479,2683,18478,772
2023-05-24T00:00:00-04:00,30194,8739,4959,3398,20278,385
2023-05-25T00:00:00-04:00,40384,12587,5026,3498,26667,400
2023-05-26T00:00:00-04:00,42056,8663,5277,3425,31938,397
2023-05-27T00:00:00-04:00,34863,8884,5132,2955,24159,356
2023-05-28T00:00:00-04:00,29125,9036,4875,3821,19392,357
2023-05-29T00:00:00-04:00,38932,10955,5543,4112,26955,409
2023-05-30T00:00:00-04:00,35864,12559,6901,4804,21626,419
2023-05-31T00:00:00-04:00,36685,12114,5191,4379,24175,416
2023-06-01T00:00:00-04:00,40019,10808,6629,3105,26069,382
2023-06-02T00:00:00-04:00,38675,13985,5943,5437,24580,396
2023-06-03T00:00:00-04:00,32940,10757,6987,3726,19327,406
2023-06-04T00:00:00-04:00,39424,16073,5153,4743,23357,417
2023-06-05T00:00:00-04:00,33012,10390,7143,3853,19702,370
2023-06-06T00:00:00-04:00,25439,9277,4840,2976,14653,355
2023-06-07T00:00:00-04:00,36964,9859,4924,2476,25011,354
2023-06-08T00:00:00-04:00,34721,9237,4157,3342,25035,365
2023-06-09T00:00:00-04:00,34525,9477,4722,3286,23994,382
2023-06-10T00:00:00-04:00,38939,12093,5436,3845,25635,381
2023-06-11T00:00:00-04:00,11365,8054,6482,3539,782,414
2023-06-12T00:00:00-04:00,18020,7265,5137,2671,8672,382
2023-06-13T00:00:00-04:00,10181,8766,4466,4687,2173,537
2023-06-14T00:00:00-04:00,31026,8552,6725,3074,19238,415
2023-06-15T00:00:00-04:00,31005,14778,4892,4131,15855,388
2023-06-16T00:00:00-04:00,17293,10282,6834,4542,5131,413
2023-06-17T00:00:00-04:00,37094,11977,6054,3939,23372,370
2023-06-18T00:00:00-04:00,38112,11319,6086,3766,24848,375
2023-06-19T00:00:00-04:00,13647,9799,5342,4430,3321,385
2023-06-20T00:00:00-04:00,12012,9589,6545,3996,289,415
2023-06-21T00:00:00-04:00,36830,11116,5611,3545,24011,362
2023-06-22T00:00:00-04:00,19064,8788,5439,2708,7977,432
2023-06-23T00:00:00-04:00,16681,8394,4790,3357,7256,402
2023-06-24T00:00:00-04:00,23756,14076,5967,4459,8647,476
2023-06-25T00:00:00-04:00,28510,13170,6087,5442,15129,433
2023-06-26T00:00:00-04:00,24965,10740,8125,4014,10513,399
2023-06-27T00:00:00-04:00,9445,8663,5282,4829,798,468
2023-06-28T00:00:00-04:00,28687,11082,6956,4019,15060,391
2023-06-29T00:00:00-04:00,34577,12732,6625,4719,20321,381
2023-06-30T00:00:00-04:00,28809,13931,7029,5604,13909,456
2023-07-01T00:00:00-04:00,22553,19227,8355,7112,2550,467
2023-07-02T00:00:00-04:00,23171,12541,8695,5374,7781,472
2023-07-03T00:00:00-04:00,20757,13010,7747,5533,6017,484
2023-07-04T00:00:00-04:00,26738,12109,6915,4134,12233,386
2023-07-05T00:00:00-04:00,37480,20971,8003,6361,15274,406
2023-07-06T00:00:00-04:00,22866,12052,6927,5091,9405,428
2023-07-07T00:00:00-04:00,29047,12943,6273,5128,15404,445
2023-07-08T00:00:00-04:00,21894,16566,9805,6705,2720,492
2023-07-09T00:00:00-04:00,29423,19136,7946,4666,7495,488
2023-07-10T00:00:00-04:00,35572,13143,5819,5278,22296,408
2023-07-11T00:00:00-04:00,37543,19567,6779,4638,16263,428
2023-07-12T00:00:00-04:00,35949,12976,6140,4547,21771,391
2023-07-13T00:00:00-04:00,34679,20451,8022,5583,12262,473
2023-07-14T00:00:00-04:00,33666,13316,6971,5587,19449,484
2023-07-15T00:00:00-04:00,13111,9981,7904,4602,252,424
2023-07-16T00:00:00-04:00,27889,17350,5891,5228,10331,456
2023-07-17T00:00:00-04:00,27934,13896,7861,5939,12526,411
2023-07-18T00:00:00-04:00,31867,12029,6902,4610,17946,400
2023-07-19T00:00:00-04:00,33063,13855,7907,5726,17476,449
2023-07-20T00:00:00-04:00,32142,12478,7207,5298,18217,461
2023-07-21T00:00:00-04:00,28102,9878,7020,3639,15272,428
2023-07-22T00:00:00-04:00,38811,9469,5608,3793,27914,387
2023-07-23T00:00:00-04:00,31806,16500,7913,7659,15513,460
2023-07-24T00:00:00-04:00,30306,11632,8086,5073,16060,399
2023-07-25T00:00:00-04:00,29749,11480,6828,5014,16865,410
2023-07-26T00:00:00-04:00,33428,14276,7021,6051,18616,434
2023-07-27T00:00:00-04:00,20216,13744,9879,6661,3744,490
2023-07-28T00:00:00-04:00,15100,11359,8572,5629,1281,483
2023-07-29T00:00:00-04:00,29227,20356,8030,6277,7694,575
2023-07-30T00:00:00-04:00,30286,13816,6945,4888,14849,435
2023-07-31T00:00:00-04:00,35562,12354,7027,4935,21525,409
2023-08-01T00:00:00-04:00,30654,10602,6349,3836,17935,395
2023-08-02T00:00:00-04:00,32267,12404,5687,4738,19312,398
2023-08-03T00:00:00-04:00,35163,13641,7018,4527,19441,409
2023-08-04T00:00:00-04:00,30694,11348,6558,4602,17827,437
2023-08-05T00:00:00-04:00,28570,11037,5987,4553,16510,412
2023-08-06T00:00:00-04:00,26563,12373,7088,4763,12368,504
2023-08-07T00:00:00-04:00,16661,9877,7098,4476,4683,517
2023-08-08T00:00:00-04:00,36464,12187,5934,4608,23360,408
2023-08-09T00:00:00-04:00,28477,12115,6517,4248,14491,398
2023-08-10T00:00:00-04:00,28244,10103,6829,4517,16305,476
2023-08-11T00:00:00-04:00,30833,10865,5614,4027,18810,430
2023-08-12T00:00:00-04:00,31438,13687,7276,5394,16272,404
2023-08-13T00:00:00-04:00,35733,14156,7311,5704,20400,430
2023-08-14T00:00:00-04:00,7678,10621,3669,6320,213,505
2023-08-15T00:00:00-04:00,16357,9438,10730,3384,1392,1820
2023-08-16T00:00:00-04:00,25635,10165,6345,4023,13617,469
2023-08-17T00:00:00-04:00,28945,10580,5769,5985,19024,443
2023-08-18T00:00:00-04:00,31893,10765,8115,3909,17328,407
2023-08-19T00:00:00-04:00,36478,10195,5588,3327,24424,402
2023-08-20T00:00:00-04:00,36570,12504,5474,4935,23942,415
2023-08-21T00:00:00-04:00,28776,14289,7418,6455,13944,420
2023-08-22T00:00:00-04:00,35349,14577,9352,6525,18374,429
2023-08-23T00:00:00-04:00,33053,14301,8236,5575,16509,418
2023-08-24T00:00:00-04:00,25901,13692,8160,6665,11202,488
2023-08-25T00:00:00-04:00,25408,13205,9209,5857,9373,522
2023-08-26T00:00:00-04:00,28692,27151,9099,12240,5767,1086
2023-08-27T00:00:00-04:00,30073,12688,10629,2593,13260,3911
2023-08-28T00:00:00-04:00,36902,11303,5940,4393,24478,426
2023-08-29T00:00:00-04:00,34083,9982,6139,4370,22761,429
2023-08-30T00:00:00-04:00,25636,7914,6383,3598,15396,460
2023-08-31T00:00:00-04:00,36676,9577,5387,3936,26071,423
2023-09-01T00:00:00-04:00,36918,16378,7154,6108,19931,437
2023-09-02T00:00:00-04:00,33128,13950,7982,6061,17738,481
2023-09-03T00:00:00-04:00,30714,14893,7868,6178,14649,518
2023-09-04T00:00:00-04:00,32269,14501,8801,6935,16339,438
2023-09-05T00:00:00-04:00,29418,13440,9180,7219,14456,439
2023-09-06T00:00:00-04:00,26722,13581,10061,6874,10460,506
2023-09-07T00:00:00-04:00,17390,10616,8743,5508,4032,492
2023-09-08T00:00:00-04:00,15796,10771,7959,6095,3673,512
2023-09-09T00:00:00-04:00,22110,11383,8206,5155,8146,470
2023-09-10T00:00:00-04:00,27413,9645,6461,4550,16297,439
2023-09-11T00:00:00-04:00,33166,11195,6262,4471,20621,443
2023-09-12T00:00:00-04:00,8366,18189,1337,5666,82,5576
2023-09-13T00:00:00-04:00,28945,9202,10496,2056,14021,2719
2023-09-14T00:00:00-04:00,30779,9549,6070,4124,19709,426
2023-09-15T00:00:00-04:00,36841,10418,5911,4552,25494,431
2023-09-16T00:00:00-04:00,30274,20133,6873,6383,10118,467
2023-09-17T00:00:00-04:00,23092,9158,8480,4154,10118,510
2023-09-18T00:00:00-04:00,26985,9464,5938,4270,16302,450
2023-09-19T00:00:00-04:00,33304,10483,6923,4832,21158,427
2023-09-20T00:00:00-04:00,33724,8888,6004,3911,23174,432
2023-09-21T00:00:00-04:00,32572,10874,5803,5091,21419,434
2023-09-22T00:00:00-04:00,33641,8984,7650,4843,22284,434
2023-09-23T00:00:00-04:00,35083,9202,6274,3985,24020,428
2023-09-24T00:00:00-04:00,15832,8497,6052,4495,6239,461
2023-09-25T00:00:00-04:00,7155,8555,3525,4638,222,509
2023-09-26T00:00:00-04:00,10357,7661,6752,3810,229,475
2023-09-27T00:00:00-04:00,10828,7904,6585,3479,279,460
2023-09-28T00:00:00-04:00,7997,7600,4587,3851,183,521
2023-09-29T00:00:00-04:00,14188,8617,9264,3477,258,473
2023-09-30T00:00:00-04:00,28998,7675,5464,3478,19764,427
2023-10-01T00:00:00-04:00,32060,7036,4973,3096,23572,426
2023-10-02T00:00:00-04:00,31062,7383,4918,3132,22321,427
2023-10-03T00:00:00-04:00,30895,7581,5206,3187,21722,428
2023-10-04T00:00:00-04:00,26680,7125,4863,3115,18242,436
2023-10-05T00:00:00-04:00,8096,6644,5342,3643,267,514
2023-10-06T00:00:00-04:00,23279,7156,5543,3122,14173,470
2023-10-07T00:00:00-04:00,14736,7585,5237,3501,5875,460
2023-10-08T00:00:00-04:00,11920,7992,5957,4147,2573,455
2023-10-09T00:00:00-04:00,19745,15702,7751,5760,2688,635
2023-10-10T00:00:00-04:00,33027,9756,6377,4237,21576,446
2023-10-11T00:00:00-04:00,31519,10198,6013,4080,19838,450
2023-10-12T00:00:00-04:00,27574,16986,6190,3970,8845,478
2023-10-13T00:00:00-04:00,30297,10354,5723,3909,18581,452
2023-10-14T00:00:00-04:00,9620,8526,5976,4488,176,570
2023-10-15T00:00:00-04:00,10263,8946,6305,4727,230,492
2023-10-16T00:00:00-04:00,11071,9046,7036,4699,210,521
2023-10-17T00:00:00-04:00,8504,9070,4352,4637,222,503
2023-10-18T00:00:00-04:00,27651,8713,10233,4325,13511,481
2023-10-19T00:00:00-04:00,11882,8909,6442,4916,1989,542
2023-10-20T00:00:00-04:00,7279,8491,3591,4455,185,533
2023-10-21T00:00:00-04:00,18169,7007,9397,3571,5843,507
2023-10-22T00:00:00-04:00,22568,7030,5629,3015,13443,519
2023-10-23T00:00:00-04:00,30548,7599,5112,3648,21940,456
2023-10-24T00:00:00-04:00,28965,7025,5320,3352,20430,458
2023-10-25T00:00:00-04:00,1258,2199,644,1366,51,269
